net,length_um
_04664_,287.8µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[14\],287.605µm
_00552_,287.465µm
_17587_,287.03µm
net683,286.98µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[9\],286.64µm
net825,286.37µm
_03463_,286.255µm
_00871_,285.685µm
_10483_,285.525µm
net716,283.905µm
_01835_,283.585µm
threads\[3\].fma_instance.sign_r2,283.58µm
_00545_,283.205µm
net1085,283.16µm
net1026,282.94µm
net826,282.72µm
net715,282.58µm
_17428_,282.445µm
_17906_,281.72µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[4\],281.52µm
_17868_,281.51µm
net977,281.44µm
_10273_,281.135µm
net817,280.72µm
_22101_,280.51µm
pipe_rd_data\[2\]\[1\],280.34µm
_08760_,280.285µm
_10478_,280.085µm
_17709_,279.9µm
net956,279.625µm
_04822_,279.455µm
_16875_,279.42µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[8\],279.39µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[12\],279.22µm
_17776_,279.2µm
net808,278.98µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[12\],278.96µm
_16507_,278.5µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[0\],278.47µm
_15988_,278.175µm
_18375_,277.985µm
_15841_,277.835µm
_16008_,277.6µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[8\],277.54µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[12\],277.5µm
_17600_,276.9µm
_00563_,276.865µm
net714,276.86µm
_18197_,276.52µm
net717,275.66µm
_10276_,275.54µm
net680,275.515µm
net693,275.5µm
threads\[0\].fma_instance.r3_weighted\[4\],275.115µm
_10481_,274.83µm
_02452_,274.815µm
net537,274.8µm
net995,273.92µm
net835,273µm
net506,272.725µm
alu_out\[1\]\[5\],272.55µm
net662,272.29µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[7\],272.02µm
net643,271.86µm
net981,271.8µm
_00549_,271.655µm
net721,271.225µm
net725,271.185µm
net348,270.93µm
net961,270.53µm
_16228_,269.575µm
net684,269.475µm
net820,269.37µm
alu_out\[1\]\[8\],269.265µm
systolic_arrays\[1\].systolic_array_inst.g_row\[0\].g_col\[1\].pe.r3_prod_mant\[14\],269.2µm
net799,269.06µm
net641,268.715µm
_18120_,267.93µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[1\],267.45µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[0\].pe.r2_mantissa\[7\],267.235µm
_12484_,266.795µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[15\],266.2µm
threads\[0\].fma_instance.r3_weighted\[5\],265.94µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[0\].pe.r2_mantissa\[13\],265.87µm
_18365_,265.58µm
net720,265.465µm
_17992_,265.36µm
net722,265.3µm
_18355_,264.665µm
net704,264.58µm
net518,264.27µm
_10829_,264.09µm
_00884_,263.725µm
net513,263.33µm
net1088,262.85µm
alu_out\[1\]\[2\],262.535µm
threads\[1\].fma_instance.sign_r2,262.45µm
_16360_,262.31µm
net733,261.645µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[0\],261.34µm
net690,261.01µm
lsu_out\[3\]\[1\],259.92µm
_02567_,259.73µm
_00554_,259.345µm
_01832_,259.29µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[10\],258.88µm
net604,258.85µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[10\],258.48µm
_19777_,258.14µm
alu_out\[2\]\[1\],258.06µm
net670,257.74µm
_16629_,257.7µm
clknet_6_42_0_clk,257.59µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[15\],257.19µm
fma_out\[3\]\[0\],257.045µm
threads\[0\].fma_instance.r3_weighted\[15\],256.45µm
net724,256.4µm
threads\[0\].fma_instance.r3_weighted\[6\],256.36µm
_06982_,256.005µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[11\],255.64µm
_02394_,255.605µm
threads\[0\].fma_instance.r3_weighted\[7\],255µm
_00562_,254.805µm
net620,254.69µm
clknet_6_47_0_clk,254.47µm
